Epoch 18 [17.8s + 7.0s]: train==[2.13789=2.06159 + 0.07630 + 0.00000], recall=[0.56053, 0.69565], precision=[0.55345, 0.34380], hit=[0.97088, 0.98972], ndcg=[0.88957, 0.87100], map=[0.84042, 0.78019], mrr=[0.88836, 0.89096], f1=[0.55660, 0.45994]
Epoch 19 [16.3s + 7.1s]: train==[2.03641=1.95763 + 0.07878 + 0.00000], recall=[0.56517, 0.69983], precision=[0.55806, 0.34587], hit=[0.97113, 0.99020], ndcg=[0.89078, 0.87259], map=[0.84187, 0.78242], mrr=[0.88957, 0.89222], f1=[0.56122, 0.46271]
Epoch 20 [17.6s + 7.0s]: train==[1.98010=1.89895 + 0.08115 + 0.00000], recall=[0.56758, 0.70409], precision=[0.56048, 0.34798], hit=[0.97196, 0.99052], ndcg=[0.89168, 0.87332], map=[0.84282, 0.78304], mrr=[0.89063, 0.89321], f1=[0.56364, 0.46552]
Epoch 21 [16.4s + 7.1s]: train==[1.85896=1.77552 + 0.08344 + 0.00000], recall=[0.57112, 0.70879], precision=[0.56399, 0.35032], hit=[0.97263, 0.99055], ndcg=[0.89298, 0.87476], map=[0.84414, 0.78491], mrr=[0.89212, 0.89461], f1=[0.56716, 0.46865]
Epoch 22 [16.5s + 6.9s]: train==[1.77458=1.68873 + 0.08586 + 0.00000], recall=[0.57522, 0.71264], precision=[0.56804, 0.35223], hit=[0.97273, 0.99080], ndcg=[0.89426, 0.87613], map=[0.84595, 0.78682], mrr=[0.89347, 0.89601], f1=[0.57123, 0.47120]
Epoch 23 [17.4s + 6.8s]: train==[1.70566=1.61751 + 0.08815 + 0.00000], recall=[0.57639, 0.71544], precision=[0.56922, 0.35361], hit=[0.97317, 0.99106], ndcg=[0.89416, 0.87597], map=[0.84584, 0.78651], mrr=[0.89287, 0.89538], f1=[0.57241, 0.47305]
Epoch 24 [18.9s + 7.2s]: train==[1.63857=1.54820 + 0.09038 + 0.00000], recall=[0.57989, 0.71882], precision=[0.57273, 0.35530], hit=[0.97317, 0.99141], ndcg=[0.89568, 0.87777], map=[0.84799, 0.78905], mrr=[0.89507, 0.89762], f1=[0.57591, 0.47530]
Epoch 25 [17.2s + 6.2s]: train==[1.60292=1.51037 + 0.09255 + 0.00000], recall=[0.58253, 0.72221], precision=[0.57534, 0.35699], hit=[0.97317, 0.99150], ndcg=[0.89700, 0.87902], map=[0.84981, 0.79076], mrr=[0.89676, 0.89932], f1=[0.57854, 0.47756]
Epoch 26 [17.9s + 8.2s]: train==[1.51218=1.41757 + 0.09461 + 0.00000], recall=[0.58480, 0.72407], precision=[0.57756, 0.35792], hit=[0.97371, 0.99150], ndcg=[0.89662, 0.87873], map=[0.84908, 0.79051], mrr=[0.89561, 0.89811], f1=[0.58078, 0.47879]
Epoch 27 [17.5s + 8.3s]: train==[1.48335=1.38668 + 0.09667 + 0.00000], recall=[0.58763, 0.72745], precision=[0.58038, 0.35960], hit=[0.97422, 0.99173], ndcg=[0.89769, 0.87987], map=[0.85010, 0.79191], mrr=[0.89733, 0.89978], f1=[0.58360, 0.48104]
Epoch 28 [17.3s + 7.0s]: train==[1.46424=1.36558 + 0.09866 + 0.00000], recall=[0.59121, 0.73038], precision=[0.58395, 0.36105], hit=[0.97495, 0.99144], ndcg=[0.89862, 0.88057], map=[0.85144, 0.79335], mrr=[0.89754, 0.89985], f1=[0.58718, 0.48298]
Epoch 29 [16.0s + 6.7s]: train==[1.40076=1.30022 + 0.10053 + 0.00000], recall=[0.59377, 0.73282], precision=[0.58645, 0.36226], hit=[0.97556, 0.99176], ndcg=[0.89950, 0.88148], map=[0.85223, 0.79443], mrr=[0.89892, 0.90118], f1=[0.58971, 0.48460]
Epoch 30 [17.1s + 6.8s]: train==[1.34323=1.24059 + 0.10264 + 0.00000], recall=[0.59749, 0.73462], precision=[0.59013, 0.36315], hit=[0.97613, 0.99211], ndcg=[0.90205, 0.88424], map=[0.85563, 0.79855], mrr=[0.90216, 0.90439], f1=[0.59340, 0.48579]
Epoch 31 [16.6s + 6.7s]: train==[1.30777=1.20319 + 0.10459 + 0.00000], recall=[0.59910, 0.73651], precision=[0.59174, 0.36410], hit=[0.97600, 0.99195], ndcg=[0.90173, 0.88418], map=[0.85562, 0.79889], mrr=[0.90101, 0.90325], f1=[0.59501, 0.48705]
Epoch 32 [17.7s + 6.8s]: train==[1.25476=1.14834 + 0.10642 + 0.00000], recall=[0.60143, 0.73970], precision=[0.59405, 0.36569], hit=[0.97639, 0.99255], ndcg=[0.90227, 0.88478], map=[0.85604, 0.79934], mrr=[0.90179, 0.90404], f1=[0.59733, 0.48917]
Epoch 33 [16.6s + 6.9s]: train==[1.24527=1.13692 + 0.10834 + 0.00000], recall=[0.60317, 0.74104], precision=[0.59577, 0.36635], hit=[0.97680, 0.99220], ndcg=[0.90219, 0.88467], map=[0.85574, 0.79946], mrr=[0.90124, 0.90340], f1=[0.59906, 0.49005]
Epoch 34 [17.0s + 6.7s]: train==[1.19194=1.08183 + 0.11011 + 0.00000], recall=[0.60588, 0.74398], precision=[0.59847, 0.36781], hit=[0.97718, 0.99249], ndcg=[0.90342, 0.88574], map=[0.85756, 0.80101], mrr=[0.90239, 0.90451], f1=[0.60176, 0.49201]
Epoch 35 [17.7s + 6.5s]: train==[1.18968=1.07767 + 0.11202 + 0.00000], recall=[0.60784, 0.74416], precision=[0.60040, 0.36790], hit=[0.97763, 0.99249], ndcg=[0.90463, 0.88710], map=[0.85907, 0.80321], mrr=[0.90414, 0.90621], f1=[0.60371, 0.49213]
